ASVID	Kingdom	Supergroup	Division	Class	Order	Family	Genus	Species	Function	Function_Group	Nutrition	Notes
ASV2828	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Neidium	Neidium_affine	phototrophic	phototrophic	phototrophic	na
ASV2829	Eukaryota	Alveolata	Ciliophora	Heterotrichea	Heterotrichea_X	Stentoridae	Stentor	Stentor_roeselii	consumers	consumers	omnivore	omnivore
ASV283	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Sphaeropleales	Sphaeropleales_X	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV2830	Eukaryota	Alveolata	Ciliophora	Spirotrichea	Hypotrichia	NA	NA	NA	consumers	consumers	omnivore	omnivore
ASV2831	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	NA	NA	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV2832	Eukaryota	Rhizaria	Cercozoa	Filosa-Granofilosea	Desmothoracida	Clathrulinidae	Hedriocystis	Hedriocystis_reticulata	consumers	consumers	bacterivore	na
ASV2833	Eukaryota	Rhizaria	Cercozoa	Filosa-Granofilosea	Cryptofilida	Mesofilidae	Mesofila	Mesofila_limnetica	consumers	consumers	bacterivore	na
ASV2834	Eukaryota	Stramenopiles	Ochrophyta	Eustigmatophyceae	Eustigmatophyceae_X	Eustigmatophyceae_XX	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV2835	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV2836	Eukaryota	Stramenopiles	Ochrophyta	NA	NA	NA	NA	NA	na	na	na	na
ASV2837	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	NA	NA	copepods	na	na	na
ASV2838	Eukaryota	Amoebozoa	Lobosa	Tubulinea	NA	NA	NA	NA	na	na	na	na
ASV2839	Eukaryota	Alveolata	Ciliophora	Colpodea	Colpodea_X	NA	NA	NA	na	na	na	bacterivore
ASV284	Eukaryota	Opisthokonta	Metazoa	Nematoda	Enoplea	Enoplea_X	NA	NA	nematodes	na	na	na
ASV2841	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	NA	NA	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV2843	Eukaryota	Stramenopiles	Ochrophyta	Eustigmatophyceae	Eustigmatophyceae_X	Eustigmatophyceae_XX	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV2844	Eukaryota	Alveolata	Ciliophora	Phyllopharyngea	Suctoria	Tokophryidae	Tokophrya	Tokophrya_quadripartita	consumers	consumers	eukaryvore	eukaryotic_predators
ASV2846	Eukaryota	Opisthokonta	Fungi	Mucoromycota	Mucoromycotina	Mucoromycotina_X	Umbelopsis	Umbelopsis_nana	na	na	na	na
ASV2847	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Leptodiaptomus	NA	copepods	na	na	na
ASV2848	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV2849	Eukaryota	Excavata	Discoba	Kinetoplastea	Trypanosomatida	Trypanosomatidae	NA	NA	animal_parasite	symbionts	animal_parasite	insect_parasite
ASV285	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV2850	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV2851	Eukaryota	Opisthokonta	Fungi	Mucoromycota	Mucoromycotina	Mucoromycotina_X	NA	NA	na	na	na	na
ASV2852	Eukaryota	Amoebozoa	Lobosa	Tubulinea	Arcellinida	Arcellinida_X	Cryptodifflugia	NA	consumers	consumers	bacterivore	na
ASV2853	Eukaryota	Stramenopiles	Ochrophyta	Eustigmatophyceae	Eustigmatophyceae_X	Eustigmatophyceae_XX	Trachydiscus	Trachydiscus_minutus	phototrophic	phototrophic	phototrophic	na
ASV2854	Eukaryota	Alveolata	Ciliophora	Spirotrichea	Hypotrichia	Halteriidae	Halteria	Halteria_grandinella	consumers	consumers	omnivore	omnivore
ASV2855	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-C	NA	NA	na	na	na	na
ASV2856	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV2857	Eukaryota	Opisthokonta	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Haliplectus	Haliplectus_sp.	nematodes	na	na	na
ASV2858	Eukaryota	Stramenopiles	Ochrophyta	Raphidophyceae	Raphidophyceae_X	Raphidophyceae_XX	Gonyostomum	Gonyostomum_semen	phototrophic	phototrophic	phototrophic	na
ASV2859	Eukaryota	Stramenopiles	Ochrophyta	Eustigmatophyceae	Eustigmatophyceae_X	Eustigmatophyceae_XX	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV2860	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellales_X	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV2861	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	NA	NA	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV2862	Eukaryota	Alveolata	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV2863	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV2865	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV2866	Eukaryota	Alveolata	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV2867	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chaetophorales	Chaetophorales_X	Chaetophora	Chaetophora_incrassata	phototrophic	phototrophic	phototrophic	na
ASV2868	Eukaryota	Stramenopiles	Sagenista	Labyrinthulomycetes	Amphifilida	Amphifilaceae	Fibrophrys	Fibrophrys_sp.	consumers	consumers	bacterivore	na
ASV2869	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellales_X	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV287	Eukaryota	Alveolata	Ciliophora	Heterotrichea	Heterotrichea_X	Stentoridae	Stentor	Stentor_coeruleus	consumers	consumers	omnivore	omnivore
ASV2870	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
