ASVID	Kingdom	Supergroup	Division	Class	Order	Family	Genus	Species	Function	Function_Group	Nutrition	Notes
ASV4407	Eukaryota	Opisthokonta	Fungi	Chytridiomycota	Chytridiomycotina	Chytridiomycetes	Rhizidium	Rhizidium_endosporangiatum	na	na	na	na
ASV4408	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV4409	Eukaryota	Opisthokonta	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Achromadora	NA	nematodes	na	na	na
ASV4410	Eukaryota	Rhizaria	Cercozoa	Endomyxa	Vampyrellida	Sey055-lineage	Sey055-lineage_X	Sey055-lineage_X_sp.	consumers	consumers	eukaryvore	na
ASV4411	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV4412	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV4413	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV4414	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV4415	Eukaryota	Alveolata	Ciliophora	Litostomatea	Litostomatea_X	Litostomatea_XX	NA	NA	consumers	consumers	eukaryvore	eukaryvore
ASV4416	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Chlamydomonas	NA	phototrophic	phototrophic	phototrophic	na
ASV4417	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	NA	NA	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV4419	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV442	Eukaryota	Opisthokonta	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Prodesmodora	Prodesmodora_circulata	nematodes	na	na	na
ASV4420	Eukaryota	Stramenopiles	Sagenista	Labyrinthulomycetes	Amphifilida	Amphifilaceae	Fibrophrys	Fibrophrys_sp.	consumers	consumers	bacterivore	na
ASV4421	Eukaryota	Rhizaria	Cercozoa	Endomyxa	Vampyrellida	NA	NA	NA	consumers	consumers	eukaryvore	na
ASV4423	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chaetophorales	Chaetophorales_X	Chaetophora	Chaetophora_incrassata	phototrophic	phototrophic	phototrophic	na
ASV4424	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Araphid-pennate	Staurosira	NA	phototrophic	phototrophic	phototrophic	na
ASV4425	Eukaryota	Alveolata	Ciliophora	Spirotrichea	Hypotrichia	Urostylidae	Urostyla	Urostyla_grandis	consumers	consumers	omnivore	omnivore
ASV4426	Eukaryota	Alveolata	Ciliophora	Spirotrichea	Hypotrichia	NA	NA	NA	consumers	consumers	omnivore	omnivore
ASV4427	Eukaryota	Stramenopiles	Ochrophyta	Eustigmatophyceae	Eustigmatophyceae_X	Eustigmatophyceae_XX	Pseudocharaciopsis	Pseudocharaciopsis_ovalis	phototrophic	phototrophic	phototrophic	na
ASV4428	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	NA	NA	copepods	na	na	na
ASV4429	Eukaryota	Opisthokonta	Metazoa	Gastrotricha	Gastrotricha_X	Gastrotricha_XX	Chaetonotus	Chaetonotus_acanthocephalus	gastrotrich	na	na	na
ASV443	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV4430	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-E	NA	NA	mixotrophic	phototrophic	mixotrophic	na
ASV4431	Eukaryota	Opisthokonta	Fungi	Microsporidiomycota	Microsporidiomycotina	Microsporidiomycotina_X	Marssoniella	Marssoniella_elegans	na	na	na	na
ASV4432	Eukaryota	Stramenopiles	Pseudofungi	Oomycota	Oomycota_X	Peronosporales	Lagenidium	Lagenidium_giganteum	consumers	consumers	pathogen	na
ASV4433	Eukaryota	Excavata	Discoba	Euglenida	Euglenida_X	Anisonemidae	Anisonema	Anisonema_sp.	consumers	consumers	bacterivore	na
ASV4434	Eukaryota	Excavata	Discoba	Kinetoplastea	NA	NA	NA	NA	na	na	na	na
ASV4435	Eukaryota	Archaeplastida	Chlorophyta	NA	NA	NA	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV4436	Eukaryota	Stramenopiles	Ochrophyta	NA	NA	NA	NA	NA	na	na	na	na
ASV4437	Eukaryota	Amoebozoa	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV4438	Eukaryota	Excavata	Discoba	Kinetoplastea	NA	NA	NA	NA	na	na	na	na
ASV4439	Eukaryota	Rhizaria	Cercozoa	Endomyxa-Phytomyxea	Plasmodiophorida	Polymyxa-lineage	Sorosphaera	Sorosphaera_veronicae	plant_parasite	symbionts	plant_parasite	na
ASV444	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	NA	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV4440	Eukaryota	Stramenopiles	Sagenista	Labyrinthulomycetes	Amphitremida	Diplophrydaceae	Diplophrys	Diplophrys_sp.	consumers	consumers	bacterivore	na
ASV4442	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV4443	Eukaryota	Alveolata	Ciliophora	Oligohymenophorea	Peritrichia_2	Sessilida	Vorticellides	Vorticellides_aquadulcis	consumers	consumers	omnivore	omnivore
ASV4444	Eukaryota	Opisthokonta	Fungi	Microsporidiomycota	Microsporidiomycotina	Microsporidiomycotina_X	Marssoniella	Marssoniella_elegans	na	na	na	na
ASV4445	Eukaryota	Rhizaria	Cercozoa	Endomyxa	Vampyrellida	Sey055-lineage	Sey055-lineage_X	Sey055-lineage_X_sp.	consumers	consumers	eukaryvore	na
ASV4446	Eukaryota	Alveolata	Ciliophora	Oligohymenophorea	Peritrichia_2	Sessilida	NA	NA	na	na	na	na
ASV4447	Eukaryota	Amoebozoa	Lobosa	Discosea-Flabellinia	Vannellida	Vannellidae	Vannella	Vannella_simplex	consumers	consumers	bacterivore	na
ASV4448	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV4449	Eukaryota	Opisthokonta	Metazoa	Craniata	Craniata_X	NA	NA	NA	na	na	na	na
ASV445	Eukaryota	Stramenopiles	Ochrophyta	Eustigmatophyceae	Eustigmatophyceae_X	Eustigmatophyceae_XX	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV4450	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Hexapoda	Insecta	Simulium	NA	na	na	na	na
ASV4451	Eukaryota	Rhizaria	Cercozoa	Filosa-Granofilosea	Desmothoracida	Clathrulinidae	Hedriocystis	Hedriocystis_reticulata	consumers	consumers	bacterivore	na
ASV4452	Eukaryota	Stramenopiles	Sagenista	Labyrinthulomycetes	Amphitremida	Diplophrydaceae	Diplophrys	Diplophrys_sp.	consumers	consumers	bacterivore	na
ASV4453	Eukaryota	Alveolata	Ciliophora	Oligohymenophorea	Peritrichia_2	Operculariidae	Opercularia	Opercularia_microdiscum	consumers	consumers	omnivore	omnivore
ASV4454	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV4455	Eukaryota	Alveolata	Ciliophora	Oligohymenophorea	Peritrichia_2	Sessilida	NA	NA	na	na	na	na
ASV4456	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV4457	Eukaryota	Rhizaria	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Allapsidae	Allapsidae_X	Allapsidae_X_sp.	consumers	consumers	bacterivore	na
ASV4458	Eukaryota	Rhizaria	Cercozoa	Filosa-Thecofilosea	Cryomonadida	NA	NA	NA	na	na	na	na
ASV4459	Eukaryota	Rhizaria	Foraminifera	Monothalamids	NA	NA	NA	NA	consumers	consumers	bacterivore	na
ASV446	Eukaryota	Amoebozoa	Lobosa	Discosea-Flabellinia	Vannellida	Vannellidae	Vannella	Vannella_persistens	consumers	consumers	bacterivore	na
ASV4460	Eukaryota	Rhizaria	Cercozoa	Filosa-Imbricatea	Euglyphida	NA	NA	NA	na	na	na	na
ASV4461	Eukaryota	Alveolata	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV4462	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV4463	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV4465	Eukaryota	Opisthokonta	Fungi	Chytridiomycota	Chytridiomycotina	Chytridiomycetes	NA	NA	na	na	na	na
ASV4466	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV4467	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV4468	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-C	NA	NA	na	na	na	na
ASV4469	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV4470	Eukaryota	Hacrobia	Haptophyta	Pavlovophyceae	Pavlovales	Pavlovaceae	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV4471	Eukaryota	Stramenopiles	Sagenista	Labyrinthulomycetes	Amphifilida	Amphifilaceae	NA	NA	consumers	consumers	bacterivore	na
ASV4472	Eukaryota	Excavata	Discoba	Euglenida	Euglenophyceae	Phacaceae	Phacus	NA	mixotrophic	phototrophic	mixotrophic	na
ASV4473	Eukaryota	Alveolata	Ciliophora	Spirotrichea	Hypotrichia	Oxytrichidae	NA	NA	consumers	consumers	omnivore	omnivore
ASV4474	Eukaryota	Alveolata	Ciliophora	Litostomatea	Litostomatea_X	Litostomatea_XX	NA	NA	consumers	consumers	eukaryvore	eukaryvore
ASV4475	Eukaryota	Stramenopiles	Ochrophyta	Eustigmatophyceae	Eustigmatophyceae_X	Eustigmatophyceae_XX	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV4476	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV4477	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV4478	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV448	Eukaryota	Alveolata	Ciliophora	Spirotrichea	Hypotrichia	Oxytrichidae	Oxytrichidae_X	Oxytrichidae_X_sp.	consumers	consumers	omnivore	omnivore
ASV4480	Eukaryota	Alveolata	Ciliophora	Colpodea	Colpodea_X	Colpodida	Maryna	Maryna_ovata	consumers	consumers	omnivore	omnivore
ASV4481	Eukaryota	Stramenopiles	Ochrophyta	Eustigmatophyceae	Eustigmatophyceae_X	Eustigmatophyceae_XX	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV4482	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellales_X	Makinoella	Makinoella_tosaensis	phototrophic	phototrophic	phototrophic	na
ASV4483	Eukaryota	Rhizaria	Cercozoa	NA	NA	NA	NA	NA	na	na	na	na
ASV4484	Eukaryota	Opisthokonta	Fungi	Microsporidiomycota	Microsporidiomycotina	Microsporidiomycotina_X	Binucleata	Binucleata_daphniae	na	na	na	na
ASV4485	Eukaryota	Alveolata	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV4486	Eukaryota	Rhizaria	Cercozoa	Endomyxa	Vampyrellida	Leptophryidae	Platyreta	Platyreta_germanica	consumers	consumers	eukaryvore	na
ASV4487	Eukaryota	Alveolata	Ciliophora	Spirotrichea	Hypotrichia	Oxytrichidae	NA	NA	consumers	consumers	omnivore	omnivore
ASV4488	Eukaryota	Alveolata	Ciliophora	Oligohymenophorea	Peritrichia_2	Operculariidae	NA	NA	consumers	consumers	omnivore	omnivore
ASV4489	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV449	Eukaryota	Alveolata	Ciliophora	Litostomatea	Rhynchostomatia	Dileptidae	NA	NA	consumers	consumers	eukaryvore	eukaryvore
ASV4490	Eukaryota	Alveolata	Ciliophora	Nassophorea	Nassophorea_X	NA	NA	NA	na	na	na	na
ASV4491	Eukaryota	Stramenopiles	Ochrophyta	NA	NA	NA	NA	NA	na	na	na	na
ASV4492	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV4493	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV4494	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Goniomonadales	Goniomonadales_X	Goniomonas	Goniomonas_truncata	consumers	consumers	bacterivore	na
ASV4495	Eukaryota	Opisthokonta	Fungi	Basidiomycota	Pucciniomycotina	Cystobasidiomycetes	Rhodotorula	Rhodotorula_graminis	na	na	na	na
ASV4496	Eukaryota	Opisthokonta	Fungi	Kickxellomycota	Kickxellomycotina	Harpellales	Smittium	NA	na	na	na	na
ASV4497	Eukaryota	Stramenopiles	Ochrophyta	Synurophyceae	Synurales	Synurales_X	Mallomonas	NA	phototrophic	phototrophic	phototrophic	na
ASV4498	Eukaryota	Stramenopiles	Ochrophyta	NA	NA	NA	NA	NA	na	na	na	na
ASV4499	Eukaryota	Rhizaria	Cercozoa	Filosa-Granofilosea	Limnofilida	Limnofilidae	Limnofila	NA	consumers	consumers	bacterivore	na
ASV45	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Hexapoda	Insecta	Chironomus	Chironomus_tepperi	midges	na	na	na
ASV450	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Ostracoda	NA	NA	seed_shrimp	na	na	na
ASV4500	Eukaryota	Stramenopiles	Pseudofungi	Oomycota	Oomycota_X	Peronosporales	Pythium	NA	consumers	consumers	pathogen	na
ASV4501	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV4502	Eukaryota	Opisthokonta	Mesomycetozoa	Ichthyosporea	Ichthyosphonida	Abeoformidae_Group_MAIP_2	Abeoformidae_Group_MAIP_2_X	Abeoformidae_Group_MAIP_2_X_sp.	animal_parasite	symbionts	animal_parasite	na
ASV4503	Eukaryota	Amoebozoa	Lobosa	Tubulinea	Arcellinida	Arcellinida_X	Cryptodifflugia	Cryptodifflugia_operculata	consumers	consumers	bacterivore	na
ASV4505	Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Pterocystida	Pterocystidae	Raphidiophrys	Raphidiophrys_ambigua	consumers	consumers	omnivore	na
ASV4506	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV4509	Eukaryota	Rhizaria	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Allapsidae	NA	NA	consumers	consumers	bacterivore	na
ASV451	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Sphaeropleales	Sphaeropleales_X	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV4510	Eukaryota	Stramenopiles	Pseudofungi	Oomycota	Oomycota_X	Peronosporales	NA	NA	consumers	consumers	pathogen	na
ASV4511	Eukaryota	Alveolata	Ciliophora	Litostomatea	Litostomatea_X	Litostomatea_XX	Spathidium_1	NA	consumers	consumers	eukaryvore	eukaryvore
ASV4512	Eukaryota	Opisthokonta	Metazoa	Rotifera	Rotifera_X	Rotifera_XX	NA	NA	rotifers	na	na	na
ASV4513	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-C	NA	NA	na	na	na	na
ASV4514	Eukaryota	Alveolata	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV4515	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV4516	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV4517	Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Pterocystida	Pterocystidae	Chlamydaster	Chlamydaster_sterni	consumers	consumers	omnivore	na
ASV4518	Eukaryota	Rhizaria	Cercozoa	Filosa-Sarcomonadea	Cercomonadida	Paracercomonadidae	Paracercomonas	NA	consumers	consumers	bacterivore	na
ASV4519	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV452	Eukaryota	Rhizaria	Cercozoa	NA	NA	NA	NA	NA	na	na	na	na
ASV4520	Eukaryota	Opisthokonta	Fungi	Chytridiomycota	Chytridiomycotina	Chytridiomycetes	Rhyzophidiales_X	Rhyzophidiales_X_sp.	na	na	na	na
ASV4521	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV4522	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV4523	Eukaryota	Alveolata	Ciliophora	Oligohymenophorea	Peniculia	Parameciidae	Paramecium	Paramecium_duboscqui	consumers	consumers	omnivore	omnivore
ASV4524	Eukaryota	Stramenopiles	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV4526	Eukaryota	Opisthokonta	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Eumonhystera	Eumonhystera_sp.	nematodes	na	na	na
ASV4527	Eukaryota	Rhizaria	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	NA	NA	NA	na	na	na	na
ASV4528	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV4529	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV453	Eukaryota	Alveolata	Ciliophora	Litostomatea	Litostomatea_X	Litostomatea_XX	Arcuospathidium_1	Arcuospathidium_namibiense	consumers	consumers	eukaryvore	eukaryvore
ASV4530	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV4531	Eukaryota	Amoebozoa	Conosa	Archamoebea	Mastigamoebida	Mastigamoebidae	Mastigamoeba	Mastigamoeba_sp.	consumers	consumers	bacterivore	na
ASV4532	Eukaryota	Amoebozoa	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV4533	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV4534	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	NA	NA	NA	na	na	na	na
ASV4535	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV4536	Eukaryota	Stramenopiles	Sagenista	Labyrinthulomycetes	Amphitremida	Diplophrydaceae	Diplophrys	Diplophrys_sp.	consumers	consumers	bacterivore	na
ASV4538	Eukaryota	Rhizaria	Cercozoa	Filosa-Sarcomonadea	Cercomonadida	Paracercomonadidae	Paracercomonas	NA	consumers	consumers	bacterivore	na
ASV4539	Eukaryota	Alveolata	Ciliophora	Phyllopharyngea	Suctoria	Tokophryidae	Tokophrya	Tokophrya_quadripartita	consumers	consumers	eukaryvore	eukaryotic_predators
ASV454	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Branchiopoda	Sida	Sida_crystallina	water_flea	na	na	na
ASV4540	Eukaryota	Stramenopiles	Ochrophyta	Synurophyceae	Synurales	Synurales_X	Mallomonas	NA	phototrophic	phototrophic	phototrophic	na
ASV4541	Eukaryota	Alveolata	Apicomplexa	Gregarinomorphea	Eugregarinorida	Gregarinidae	NA	NA	animal_parasite	symbionts	animal_parasite	na
ASV4542	Eukaryota	Amoebozoa	Lobosa	NA	NA	NA	NA	NA	na	na	na	na
ASV4543	Eukaryota	Alveolata	Ciliophora	NA	NA	NA	NA	NA	na	na	na	na
ASV4544	Eukaryota	Archaeplastida	Chlorophyta	NA	NA	NA	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV4545	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV4546	Eukaryota	Amoebozoa	Conosa	NA	NA	NA	NA	NA	consumers	consumers	bacterivore	na
ASV4547	Eukaryota	Rhizaria	Cercozoa	Filosa-Granofilosea	Limnofilida	Limnofilidae	Limnofila	Limnofila_anglica	consumers	consumers	bacterivore	na
ASV4548	Eukaryota	Excavata	Discoba	Heterolobosea	NA	NA	NA	NA	na	na	na	na
ASV4549	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Craspedida	Monosigidae_Group_O	Monosigidae_Group_O_X	Monosigidae_Group_O_X_sp.	consumers	consumers	bacterivore	na
ASV455	Eukaryota	Opisthokonta	Fungi	Mucoromycota	Mucoromycotina	Mucoromycotina_X	Mortierella	NA	na	na	na	na
ASV4550	Eukaryota	Stramenopiles	Pseudofungi	Oomycota	Oomycota_X	Saprolegniales	NA	NA	consumers	consumers	pathogen	na
ASV4551	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV4552	Eukaryota	Stramenopiles	Opalozoa	MAST-12	MAST-12C	MAST-12C_X	MAST-12C_XX	MAST-12C_XX_sp.	consumers	consumers	bacterivore	na
ASV4553	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV4554	Eukaryota	Opisthokonta	Fungi	Ascomycota	NA	NA	NA	NA	na	na	na	na
ASV4555	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV4556	Eukaryota	Alveolata	Ciliophora	Colpodea	Colpodea_X	Platyophryida	Platyophrya	Platyophrya_sp.	consumers	consumers	eukaryvore	eukaryvore
ASV4558	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	NA	NA	NA	na	na	na	na
ASV456	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-B2	NA	NA	na	na	na	na
ASV4560	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	NA	NA	NA	na	na	na	na
ASV4561	Eukaryota	Rhizaria	Cercozoa	Filosa-Thecofilosea	Cryomonadida	Rhogostoma-lineage	Rhogostoma	Rhogostoma_minus	consumers	consumers	omnivore	na
ASV4563	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV4564	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV4565	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV4566	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV4568	Eukaryota	Rhizaria	Cercozoa	Endomyxa	Vampyrellida	Sey055-lineage	Sey055-lineage_X	Sey055-lineage_X_sp.	consumers	consumers	eukaryvore	na
ASV4569	Eukaryota	Alveolata	Ciliophora	Spirotrichea	Hypotrichia	NA	NA	NA	consumers	consumers	omnivore	omnivore
ASV457	Eukaryota	Opisthokonta	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Cylindrolaimus	Cylindrolaimus_sp.	nematodes	na	na	na
ASV4570	Eukaryota	Stramenopiles	Pseudofungi	Oomycota	Oomycota_X	Peronosporales	NA	NA	consumers	consumers	pathogen	na
ASV4572	Eukaryota	Opisthokonta	Fungi	Basidiomycota	Ustilaginomycotina	Exobasidiomycetes	Exobasidiomycetes_X	Exobasidiomycetes_X_sp.	na	na	na	na
ASV4573	Eukaryota	Stramenopiles	Ochrophyta	Eustigmatophyceae	Eustigmatophyceae_X	Eustigmatophyceae_XX	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV4574	Eukaryota	Alveolata	Ciliophora	NA	NA	NA	NA	NA	na	na	na	na
ASV4575	Eukaryota	Alveolata	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV4576	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV4578	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV4579	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV458	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV4580	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV4581	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV4582	Eukaryota	Alveolata	Ciliophora	Spirotrichea	Hypotrichia	NA	NA	NA	consumers	consumers	omnivore	omnivore
ASV4583	Eukaryota	Rhizaria	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	NA	NA	NA	na	na	na	na
ASV4584	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV4585	Eukaryota	Alveolata	Ciliophora	Litostomatea	Haptoria_5	Pleurostomatida	NA	NA	consumers	consumers	eukaryvore	eukaryvore
ASV4586	Eukaryota	Stramenopiles	Sagenista	Labyrinthulomycetes	Amphifilida	Amphifilaceae	NA	NA	consumers	consumers	bacterivore	na
ASV4587	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV4588	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV4589	Eukaryota	Rhizaria	Cercozoa	Filosa-Imbricatea	Spongomonadida	Spongomonadidae	Spongomonas	Spongomonas_minima	consumers	consumers	bacterivore	na
ASV459	Eukaryota	Alveolata	Ciliophora	Spirotrichea	Hypotrichia	Oxytrichidae	Oxytricha	Oxytricha_longa	consumers	consumers	omnivore	omnivore
ASV4590	Eukaryota	Alveolata	Ciliophora	Litostomatea	Litostomatea_X	Litostomatea_XX	NA	NA	consumers	consumers	eukaryvore	eukaryvore
ASV4591	Eukaryota	Alveolata	Ciliophora	Oligohymenophorea	Peritrichia_2	Sessilida	NA	NA	na	na	na	na
ASV4592	Eukaryota	Alveolata	Ciliophora	Oligohymenophorea	Peritrichia_2	Sessilida	NA	NA	na	na	na	na
ASV4593	Eukaryota	Opisthokonta	Fungi	Blastocladiomycota	Blastocladiomycotina	Blastocladiomycetes	Catenophlyctis	NA	na	na	na	na
ASV4594	Eukaryota	Rhizaria	Cercozoa	Endomyxa	Vampyrellida	Leptophryidae	NA	NA	consumers	consumers	eukaryvore	na
ASV4595	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Leptodiaptomus	NA	copepods	na	na	na
ASV4596	Eukaryota	Amoebozoa	Conosa	Archamoebea	Mastigamoebida	Mastigamoebidae	Mastigamoeba	Mastigamoeba_sp.	consumers	consumers	bacterivore	na
ASV4597	Eukaryota	Stramenopiles	Ochrophyta	Eustigmatophyceae	Eustigmatophyceae_X	Eustigmatophyceae_XX	Pseudostaurastrum	Pseudostaurastrum_enorme	phototrophic	phototrophic	phototrophic	na
ASV4598	Eukaryota	Rhizaria	Cercozoa	Endomyxa	Vampyrellida	Leptophryidae	Platyreta	Platyreta_germanica	consumers	consumers	eukaryvore	na
ASV4599	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
