	old_pond	new_ID	new_pond	alt_ID	alt_pond	region	habitat	water_body	biome	vegetation_type	latitude_scale	latitude	longitude	elevation	year	water_temp	water_pH	water_conductivity	ave_ann_temp	sample_year_temp	sample_month_temp	sample_year_ground_temp	average_ground_temp	pond_area	mat_colour	read_count
WLC	WL	CB2.3	CB2	CB_L1C	CBL1	3_cambridge_bay	lake	lake	tundra	dwarf_shrub_tundra	65-69	69.136	-105.053	NA	2017	8.9	8.79	374	-13.229	-12.5	9.5	NA	NA	NA	orange_green	112787
CBP12A	CBP12	CB3.1	CB3	CB_P2A	CBP2	3_cambridge_bay	pond	pond	tundra	dwarf_shrub_tundra	65-69	69.184	-104.691	NA	2017	10.2	8.99	990	-13.229	-12.5	9.5	NA	NA	NA	orange_green	135446
CBP12B	CBP12	CB3.2	CB3	CB_P2B	CBP2	3_cambridge_bay	pond	pond	tundra	dwarf_shrub_tundra	65-69	69.184	-104.691	NA	2017	10.3	9.04	992	-13.229	-12.5	9.5	NA	NA	NA	orange_green	143298
CBP12C	CBP12	CB3.3	CB3	CB_P2C	CBP2	3_cambridge_bay	pond	pond	tundra	dwarf_shrub_tundra	65-69	69.184	-104.691	NA	2017	10.1	9.06	993	-13.229	-12.5	9.5	NA	NA	NA	orange_green	137601
CBP14A	CBP14	CB4.1	CB4	CB_P3A	CBP3	3_cambridge_bay	pond	pond	tundra	dwarf_shrub_tundra	65-69	69.184	-104.696	NA	2017	10	9.84	763	-13.229	-12.5	9.5	NA	NA	NA	orange_green	127742
CBP14B	CBP14	CB4.2	CB4	CB_P3B	CBP3	3_cambridge_bay	pond	pond	tundra	dwarf_shrub_tundra	65-69	69.184	-104.696	NA	2017	10.2	8.92	763	-13.229	-12.5	9.5	NA	NA	NA	orange_green	135163
CBP14C	CBP14	CB4.3	CB4	CB_P3C	CBP3	3_cambridge_bay	pond	pond	tundra	dwarf_shrub_tundra	65-69	69.184	-104.696	NA	2017	10	8.84	767	-13.229	-12.5	9.5	NA	NA	NA	orange_green	133305
CBP1C	CBP1	CB5.1	CB5	CB_L2A	CBL2	3_cambridge_bay	lake	lake	tundra	dwarf_shrub_tundra	65-69	69.21	-104.786	NA	2017	15.5	8.18	1322	-13.229	-12.5	9.5	NA	NA	100x60	orange_green	139692
CBP1A	CBP1	CB5.2	CB5	CB_L2B	CBL2	3_cambridge_bay	lake	lake	tundra	dwarf_shrub_tundra	65-69	69.21	-104.787	NA	2017	18.1	8.36	1284	-13.229	-12.5	9.5	NA	NA	100x60	orange_green	132744
CBP1B	CBP1	CB5.3	CB5	CB_L2C	CBL2	3_cambridge_bay	lake	lake	tundra	dwarf_shrub_tundra	65-69	69.21	-104.787	NA	2017	18.2	8.16	1302	-13.229	-12.5	9.5	NA	NA	100x60	orange_green	139332
