OTUID	region	latitude	longitude	year	water_temp	water_pH	conductivity	elevation	ave_ann_temp	sample_year_temp	sample_month_temp	sample_year_ground_temp	average_ground_temp	habitat	water_body	pond_area	mat_colour	biome	vegetation_type
CBP6A	3_cambridge_bay	69.243	-104.76	2017	17.5	8.34	300	NA	-13.229	-12.5	9.5	NA	NA	lake	lake	200x200	green	tundra	dwarf_shrub_tundra
CBP6B	3_cambridge_bay	69.243	-104.76	2017	17.6	8.38	303	NA	-13.229	-12.5	9.5	NA	NA	lake	lake	200x200	green	tundra	dwarf_shrub_tundra
CBP6C	3_cambridge_bay	69.243	-104.76	2017	17.6	8.38	303	NA	-13.229	-12.5	9.5	NA	NA	lake	lake	200x200	green	tundra	dwarf_shrub_tundra
CBP7A	3_cambridge_bay	69.243	-104.76	2017	12.2	8.84	1365	NA	-13.229	-12.5	9.5	NA	NA	pond	pond	NA	orange_green	tundra	dwarf_shrub_tundra
CBP7B	3_cambridge_bay	69.243	-104.76	2017	11.7	8.9	1365	NA	-13.229	-12.5	9.5	NA	NA	pond	pond	NA	orange_green	tundra	dwarf_shrub_tundra
CBP7C	3_cambridge_bay	69.243	-104.76	2017	11.8	8.9	1361	NA	-13.229	-12.5	9.5	NA	NA	pond	pond	NA	orange_green	tundra	dwarf_shrub_tundra
CBP3C	3_cambridge_bay	69.266	-104.754	2017	15.5	8.44	549	NA	-13.229	-12.5	9.5	NA	NA	pond	pond	NA	orange_green	tundra	dwarf_shrub_tundra
CBP3B	3_cambridge_bay	69.264	-104.754	2017	15.1	8.42	552	NA	-13.229	-12.5	9.5	NA	NA	pond	pond	NA	orange_green	tundra	dwarf_shrub_tundra
CBP3A	3_cambridge_bay	69.264	-104.754	2017	15.5	8.49	552	NA	-13.229	-12.5	9.5	NA	NA	pond	pond	NA	orange_green	tundra	dwarf_shrub_tundra
BYL33.1	4_bylot_island	73.15	-79.967	2009	13.3	7.55	100	NA	-13.176	-12.549	8.72	-10.574	-12.711	iwt_thermokarst	pond	1x1.5	NA	tundra	polygon_terrace_tundra_wetlands
BYL33.2	4_bylot_island	73.15	-79.967	2009	13.3	7.55	100	NA	-13.176	-12.549	8.72	-10.574	-12.711	iwt_thermokarst	pond	1x1.6	NA	tundra	polygon_terrace_tundra_wetlands
