ASVID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV9241	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	NA	NA	NA
ASV9242	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	P3OB-42	NA
ASV9243	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02	NA
ASV9244	Bacteria	Planctomycetota	Phycisphaerae	NA	NA	NA	NA
ASV9245	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	NA
ASV9246	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	NA	NA
ASV9247	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_10	NA
ASV9249	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Neochlamydia	NA
ASV925	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	Crenothrix	NA
ASV9250	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV9251	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA	NA
ASV9252	Bacteria	Fibrobacterota	Fibrobacteria	Fibrobacterales	Candidatus_Raymondbacteria	NA	NA
ASV9253	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	NA	NA	NA
ASV9254	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	Candidatus_Paenicardinium	NA
ASV9255	Bacteria	Myxococcota	Myxococcia	Myxococcales	NA	NA	NA
ASV9256	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	NA	NA
ASV9257	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	NA	NA	NA
ASV9258	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	NA
ASV9259	Bacteria	Fibrobacterota	Fibrobacteria	Fibrobacterales	Chitinispirillum	NA	NA
ASV926	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Microcystaceae	Microcystis_PCC-7914	NA
ASV9260	Bacteria	Patescibacteria	Gracilibacteria	Absconditabacteriales_(SR1)	NA	NA	NA
ASV9261	Bacteria	Verrucomicrobiota	Verrucomicrobiae	UA11	NA	NA	NA
ASV9262	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	NA	NA
ASV9263	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Zavarzinella	NA
